repeat,outer_fold,overall_fold,estimator,best_params,inner_cv_score,accuracy,balanced_accuracy,f1,f2,precision,recall,sensitivity,specificity,npv,mcc,roc_auc,pr_auc,log_loss
1,1,1,LR_ElasticNet,"{'C': 0.1, 'l1_ratio': 0.25}",0.991666621961142,0.9902912621359223,0.9871794871794872,0.987012987012987,0.9793814432989689,1.0,0.9743589743589743,0.9743589743589743,1.0,0.9846153846153847,0.9794737547744264,1.0,1.0,0.09100936875325659
1,1,1,GNB,{'var_smoothing': np.float64(0.01)},0.9814051840526452,0.941747572815534,0.9431089743589743,0.925,0.9390862944162437,0.9024390243902439,0.9487179487179487,0.9487179487179487,0.9375,0.967741935483871,0.8781628466708516,0.9927884615384616,0.9888822259385295,0.5765389818281164
1,1,1,LDA,"{'shrinkage': None, 'solver': 'svd'}",0.97968840249278,0.9805825242718447,0.9743589743589743,0.9736842105263158,0.9585492227979274,1.0,0.9487179487179487,0.9487179487179487,1.0,0.9696969696969697,0.9591501029395347,0.9987980769230769,0.9980917560654897,0.05615747241018248
1,1,1,SVM,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9914350473431507,0.9902912621359223,0.9871794871794872,0.987012987012987,0.9793814432989689,1.0,0.9743589743589743,0.9743589743589743,1.0,0.9846153846153847,0.9794737547744264,1.0,1.0,0.05126449766471815
1,1,1,RF,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 150}",0.9814624071242722,0.9902912621359223,0.9871794871794872,0.987012987012987,0.9793814432989689,1.0,0.9743589743589743,0.9743589743589743,1.0,0.9846153846153847,0.9794737547744264,0.9971955128205128,0.9960981047937569,0.09292610453321253
1,1,1,LGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 150, 'num_leaves': 31}",0.9847715100632136,0.9902912621359223,0.9871794871794872,0.987012987012987,0.9793814432989689,1.0,0.9743589743589743,0.9743589743589743,1.0,0.9846153846153847,0.9794737547744264,0.9979967948717948,0.9970862470862473,0.04903292923097122
1,2,2,LR_ElasticNet,"{'C': 0.1, 'l1_ratio': 0}",0.9963439821893189,0.9611650485436893,0.9473684210526316,0.9444444444444444,0.913978494623656,1.0,0.8947368421052632,0.8947368421052632,1.0,0.9420289855072463,0.9180784496242018,0.9902834008097166,0.9860797827903088,0.13083335015072245
1,2,2,GNB,{'var_smoothing': np.float64(1e-09)},0.9871006679005392,0.9029126213592233,0.8902834008097166,0.8648648648648649,0.851063829787234,0.8888888888888888,0.8421052631578947,0.8421052631578947,0.9384615384615385,0.9104477611940298,0.7898959756654137,0.9688259109311741,0.9601232318793518,1.1070470037277105
1,2,2,LDA,"{'shrinkage': None, 'solver': 'svd'}",0.9899716566973348,0.912621359223301,0.881578947368421,0.8656716417910447,0.8011049723756906,1.0,0.7631578947368421,0.7631578947368421,1.0,0.8783783783783784,0.8187437902210951,0.9777327935222673,0.9771172194994907,0.2907412363380025
1,2,2,SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9969484008833812,0.941747572815534,0.9265182186234818,0.9166666666666666,0.8870967741935484,0.9705882352941176,0.868421052631579,0.868421052631579,0.9846153846153847,0.927536231884058,0.8752901779901328,0.9878542510121457,0.9829801927518643,0.1369943733899176
1,2,2,RF,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 75}",0.9920459930438202,0.9029126213592233,0.895748987854251,0.868421052631579,0.8684210526315791,0.868421052631579,0.868421052631579,0.868421052631579,0.9230769230769231,0.9230769230769231,0.791497975708502,0.9696356275303644,0.96337011499812,0.2055447335675565
1,2,2,LGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 75, 'num_leaves': 31}",0.9922105093747485,0.941747572815534,0.9319838056680162,0.918918918918919,0.9042553191489363,0.9444444444444444,0.8947368421052632,0.8947368421052632,0.9692307692307692,0.9402985074626866,0.8742935747251,0.9757085020242915,0.9735624671149665,0.20516253677388402
1,3,3,LR_ElasticNet,"{'C': 1, 'l1_ratio': 0}",0.9939200486396108,0.9705882352941176,0.971217105263158,0.961038961038961,0.968586387434555,0.9487179487179487,0.9736842105263158,0.9736842105263158,0.96875,0.9841269841269841,0.9376273128643323,0.9991776315789473,0.9986842105263156,0.04743027391592444
1,3,3,GNB,{'var_smoothing': np.float64(0.001)},0.9750641524279571,0.9607843137254902,0.9580592105263157,0.9473684210526315,0.9473684210526314,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96875,0.96875,0.9161184210526315,0.9938322368421053,0.9902846928014146,0.1931734987425049
1,3,3,LDA,"{'shrinkage': None, 'solver': 'svd'}",0.9779056355784448,0.9803921568627451,0.9736842105263157,0.972972972972973,0.9574468085106381,1.0,0.9473684210526315,0.9473684210526315,1.0,0.9696969696969697,0.958467676597046,0.9979440789473684,0.9967249267634375,0.0674509042715796
1,3,3,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9928560571515428,0.9705882352941176,0.9658717105263157,0.96,0.9523809523809523,0.972972972972973,0.9473684210526315,0.9473684210526315,0.984375,0.9692307692307692,0.9369589842087575,0.9958881578947368,0.9940738132957812,0.0857222355281894
1,3,3,RF,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 150}",0.983960551844997,0.9803921568627451,0.979029605263158,0.9736842105263158,0.9736842105263159,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.984375,0.984375,0.9580592105263158,0.9995888157894737,0.9993252361673413,0.09769223141574224
