estimator,roc_auc_median,roc_auc_ci_lower,roc_auc_ci_upper,mcc_median,mcc_ci_lower,mcc_ci_upper,balanced_accuracy_median,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,f1_median,f1_ci_lower,f1_ci_upper,pr_auc_median,pr_auc_ci_lower,pr_auc_ci_upper,recall_median,recall_ci_lower,recall_ci_upper,specificity_median,specificity_ci_lower,specificity_ci_upper,precision_median,precision_ci_lower,precision_ci_upper,npv_median,npv_ci_lower,npv_ci_upper
GNB,0.9874588815789473,0.984375,0.9903853270495951,0.8526078664776954,0.8357132970487446,0.873603351065016,0.9217642965587045,0.9139517965587045,0.9305098684210527,0.9041095890410958,0.8974358974358975,0.9166666666666666,0.9819868525110005,0.977390703637241,0.9849416386688035,0.8947368421052632,0.868421052631579,0.9210526315789473,0.96875,0.953125,0.96875,0.9411764705882353,0.9130252100840336,0.9444444444444444,0.9384615384615385,0.9248077792853913,0.9523809523809523
LDA,0.9928042763157895,0.9872058451417004,0.9950657894736842,0.8986132476675199,0.8795603297252405,0.9176629354822471,0.9395559210526316,0.9265182186234818,0.9480431848852902,0.9315068493150684,0.9166666666666666,0.9451951951951951,0.9897023617449443,0.9837564652845532,0.9929149797570848,0.8947368421052632,0.8572874493927125,0.8960863697705803,1.0,0.9846153846153847,1.0,1.0,0.9733285917496444,1.0,0.9402985074626866,0.9209109730848861,0.9416027280477408
LGBM,0.9912755145074224,0.9876644736842106,0.995529689608637,0.9174303138336344,0.8959004429201081,0.9372931485365449,0.9570660425101214,0.9436677631578947,0.9658717105263157,0.9473684210526315,0.9324200913242009,0.96,0.987993842038978,0.9851166444805535,0.9933905623330571,0.9473684210526315,0.9092442645074224,0.9473684210526315,0.984375,0.96875,0.984375,0.9710084033613445,0.9487179487179487,0.972972972972973,0.9679979518689197,0.9475113122171945,0.9694638694638695
LR_ElasticNet,0.994654605263158,0.9928580465587045,0.9965523785425101,0.9379826592058804,0.9280024922164252,0.9580592105263158,0.9637050860323886,0.9592927631578947,0.9736842105263157,0.96,0.9531362653208363,0.972972972972973,0.9924686359125628,0.9899209630732588,0.9950619555882712,0.9473684210526315,0.9210526315789473,0.9473684210526315,1.0,0.984375,1.0,1.0,0.9736842105263158,1.0,0.9689903846153847,0.9552238805970149,0.9696969696969697
RF,0.9901315789473684,0.9851973684210527,0.9930098684210528,0.8959004429201081,0.8781628466708516,0.9062719876161474,0.9455275809716599,0.9395559210526316,0.9502467105263157,0.9341991341991343,0.925,0.9397546897546898,0.98605345305785,0.9803301720136817,0.9894854612521298,0.9210526315789473,0.9210526315789473,0.9473684210526315,0.96875,0.9538461538461539,0.984375,0.9459459459459459,0.926829268292683,0.9714285714285714,0.9548846675712348,0.9523329129886506,0.9682539682539683
SVM,0.9954769736842105,0.9936772520242915,0.9979440789473684,0.9379826592058804,0.9176629354822471,0.9580592105263158,0.9637050860323886,0.9585167847503373,0.9736842105263157,0.96,0.9480431848852902,0.972972972972973,0.9935327515232367,0.991116816431322,0.9966234453076557,0.9473684210526315,0.9230769230769231,0.9473684210526315,1.0,0.9846153846153847,1.0,1.0,0.9736842105263158,1.0,0.9692307692307692,0.9552238805970149,0.9696969696969697
